cid,w_start,w_end,active_days,n_rows,days_with_readings
1606,2020-01-01 07:51:04.202,2024-04-29 23:38:17.140,1581,2504,1579
7246,2020-03-04 16:57:12.635,2024-04-30 01:52:32.082,1519,1995,1263
7445,2020-04-08 11:09:42.953,2024-04-30 11:18:20.227,1484,2268,1303
11827,2020-01-01 13:23:17.106,2024-04-30 12:40:58.218,1582,2670,1579
18700,2020-05-05 16:28:31.789,2023-07-13 14:45:53.563,1165,1653,974
18741,2021-05-05 17:06:42.209,2024-04-30 13:00:19.307,1092,1136,829
22050,2020-01-01 17:46:35.501,2024-04-30 09:26:29.027,1582,2341,1560
27935,2023-09-07 06:50:17.923,2024-04-30 06:46:24.739,237,5900,237
11832,2020-01-01 02:50:08.261,2024-04-29 15:34:08.278,1581,1957,1555
6225,2020-01-01 12:27:50.370,2024-04-30 08:35:56.976,1582,2434,1577
1621,2020-01-01 14:05:21.747,2024-04-29 15:27:53.661,1581,2162,1526
2750,2020-01-01 18:03:50.164,2024-04-30 09:05:40.302,1582,2283,1485
12216,2020-01-01 00:44:57.383,2024-04-29 17:27:14.758,1581,2736,1545
6900,2020-01-01 19:23:51.324,2024-04-29 17:10:03.087,1581,1969,1517
3315,2020-01-01 13:57:42.468,2024-04-30 00:42:20.591,1582,2557,1499
11554,2020-01-01 11:25:31.510,2024-04-30 08:21:54.734,1582,2432,1508
11821,2020-02-05 17:14:03.982,2024-04-29 13:57:26.125,1546,3213,1530
12036,2020-01-01 04:04:29.651,2024-04-30 12:10:05.912,1582,2951,1580
2526,2020-01-01 21:56:08.246,2024-04-30 12:02:05.159,1582,2402,1569
13750,2020-02-11 05:40:36.116,2023-08-23 15:44:18.666,1290,1797,878
5938,2020-01-01 17:47:18.468,2024-04-29 22:35:29.397,1581,3118,1479
1875,2020-01-05 09:37:54.384,2024-04-29 10:38:42.470,1577,2399,1293
1655,2020-09-18 09:00:53.714,2024-04-29 22:20:55.248,1320,2555,1306
1173,2020-01-01 12:31:09.692,2024-04-30 08:28:30.604,1582,2822,1513
10139,2020-02-05 17:02:25.160,2024-04-30 08:27:15.341,1547,3187,1532
10204,2024-01-22 12:56:35.284,2024-04-29 14:19:00.019,99,2257,98
11794,2020-01-01 16:30:12.288,2024-04-29 17:05:41.119,1581,2086,1567
1116,2020-01-01 20:37:23.534,2024-04-29 18:39:33.200,1581,2459,1424
1459,2020-02-05 17:11:01.290,2024-04-29 17:05:37.151,1546,3123,1514
18301,2020-01-02 04:35:46.822,2024-04-30 08:22:11.994,1581,2841,1507
10240,2023-12-07 00:58:37.066,2024-04-30 07:03:20.085,146,3773,146
10130,2020-01-01 01:20:55.492,2024-04-30 10:56:31.926,1582,2523,1557
11562,2020-01-17 14:00:09.882,2024-04-30 12:20:45.530,1566,1731,1096
20160,2020-01-01 08:05:42.310,2024-04-30 07:45:14.058,1582,2543,1481
7252,2020-01-01 14:57:20.508,2024-04-30 10:41:59.018,1582,2573,1545
18731,2020-09-17 14:16:45.180,2024-04-29 22:25:18.564,1321,1976,1294
6224,2020-01-01 13:57:15.289,2024-04-30 11:11:16.799,1582,2381,1579
11824,2020-02-05 17:07:56.300,2024-04-30 08:27:00.359,1547,2387,1464
5752,2020-01-01 16:33:23.665,2024-04-30 12:14:31.689,1582,2736,1566
